description,youtube,title,organiztion,category,ps number,domain bucket,img
" A mobile application is required that is capable of         
a.)      Have all the details of the equipment like S/N, Date of Installation etc.  by scanning a QR code/ barcode.   
b.)      Readily access the past service record by scanning a QR code/ barcode.    
c.)      Entering the details and updating service history on the spot, just after maintenance",,An Mobile based Inventory Management System using QR code application,Airports Authority of india,Software,AK12,Software - Mobile App development,https://www.sih.gov.in/uploads/logo/no_image.png
" A web application is required that is capable of  projecting analysed data through visual tools like bar graphs, pie charts etc on a web dashboard. Airports facilities includes Arrival baggage belts, boarding gates, Parking Stands, Trolleys etc.  The application must have a separate API to have a visual representation of the analysed data which can be integrate with any other web/desktop application. Project intents to achieve the below objectives:
• Classification of data based on nature of facility used by a passenger and available facility utilization.
• Data visualization at Airport and Pan India Level.
• A centralized Dashboard containing visual data representation of the % utilization of Airport services used by passengers.",,A visual Dashboard based on data analytics for percentage utilization of Airport facilities and utilities using IOT.,Airports Authority of india,Software,AK13,Software - Web App development,https://www.sih.gov.in/uploads/logo/no_image.png
" A web based  application using Block chain technology is sought from Airport Licensing to retrieve important and relevant Project Related information from pool of data source i.e. SAP, E-mail, E-office, Scan documents and Database. Below features are desired in an application:
a.)  Concerned Officers can upload relevant data related to Airport Licensing from Airports.
b.)  Seamless Approval process, Centralized Monitoring and Suggestion Mechanism.
c.)  Relevant information should be fetched from data source, linked to a particular project which can be used in the hour of need.",,Knowledge Management System through Block Chain,Airports Authority of india,Software,AK15,Software - Web App development,https://www.sih.gov.in/uploads/logo/no_image.png
" A mobile application needs to developed to track the registered passengers from resistance to home. The application will register passenger mobile number only for those who are willing to take this service. Passenger will be provided customized offers for Taxi, concessionaires etc. based upon passenger history and facility choices opted by the users.

Further a separate module dedicated to VIP passenger facilitation needs to be incorporated. Projects should also have • User friendly UI/UX for Airport passangers.
• Digitally Storing and Monitoring overall project related data.",,Mobile Application based Passenger facilitation System using Artificial Intelligence and  Machine learning,Airports Authority of india,Software,AK16,Software - Mobile App development,https://www.sih.gov.in/uploads/logo/no_image.png
" The Department of Financial Services (DFS), Ministry of Finance and National Informatics Centre (NIC) have jointly developed a mobile app called Jan Dhan Darshak as a part of financial inclusion (FI) initiative. As the name suggests, this application acts as a guide for the common people in locating a financial service touch point at a given location in the country. Have a look at the additional application and develop an more featureful application that provides more insights and better recommendations.",,Upgradation of Jan-Dhan Darshak App,Department of Financial Services,Software,MK21,Software - Mobile App development,https://www.sih.gov.in/uploads/logo/no_image.png
" ""The Department of Financial Services (DFS) oversees several key programs/initiatives and reforms of the Government concerning the Banking Sector, the Insurance Sector and the Pension Sector in India. Therefore it’s very important for the concerned officials to be updated in respect of any news or changes that happen in these financial matters which should be available on mobile/email. Hence the department seeks to develop an information application that can send link or news related to these financial matters immediately to the concerned officials and can provide link to various circulars of the financial institutions like RBI, Banks, PFRDA etc. as per the user’s will.
Design an app to allow broadcast of information by senior officials, and reporting of issues by all other officials to respective authorities.""",,Development of Information App for Alert on Financial Matters,Department of Financial Services,Software,MK23,Software - Mobile App development,https://www.sih.gov.in/uploads/logo/no_image.png
" 1.	Rashtriya Mahila Kosh (RMK), established as an autonomous body in 1993 is a  national  level  organization  under the  aegis of the Ministry of  Women and Child Development, for socio-economic empowerment  of  women.  The  operating  model currently followed by RMK is that of a facilitating agency wherein RMK provides loans to NGO-MFIs termed as Intermediary Organizations (IMOs) which on-lend to Self Help Groups (SHGs) of women. These micro-credit loans are provided to women micro-entrepreneurs in both rural & urban areas, organised in Self-help groups (SHGs) / Joint lender groups (JLGs).  
2.	Eligible Intermediary Organizations (IMOs) are Non-Government Organizations (NGOs), Section 8 Companies registered under Companies Act 2013, Urban / Rural Women Co-operative Banks, Co-operative Societies etc.


3.	Management Information System (MIS) software for IMOs – The software needs to capture information related to women beneficiaries (i.e. women micro-entrepreneurs) such as loan account information, repayment track record, economic activity, personal information (Aadhar Card, Bank Account Details, Age etc.), Income level, Savings, Demographic details (no. of family members, caste, religion, literacy level etc.)",,Management Information System (MIS) software for IMOs,Ministry of Women and Child Development,Software,AS33,Software - Web App development,https://www.sih.gov.in/uploads/logo/no_image.png
" In PFMS implementation, there are new NGOs registration applications. We looking for software module which would achive below desired objective. (1) NGOs registration may be approved by the concerned Ministry within a specific period. Otherwise, it should be deleted/rejected automatically by the PFMS portal itself. So that fresh registration can be done again by the implementing agency. (2) For committed expenditure like salaries, pensions etc, direct link for sanction and release of funds to the Autonomous bodies to be made on quarterly basis. However, while considering final release UC/Account and UB be taken care of.",,"In PFMS implementation, NGOs registration may be approved by the concerned Ministry within a specific period. Otherwise, it should be deleted/rejected automatically by the PFMS portal itself. So that fresh registration can be done again by the implementing agency. For committed expenditure like salaries, pensions etc, direct link for sanction and release of funds to the Autonomous bodies to be made on quarterly basis. However, while considering final release UC/Account and UB be taken care of.",Ministry of Women and Child Development,Software,AS37,Finance,https://www.sih.gov.in/uploads/logo/no_image.png
" In recent days, we have observed water scarcity especially during summer days. Rain harvesting facility can be used in different Govt. organisations/Govt. funded buildings. We are looking for software solution where (1) feasible rain water harvesting solutions can be provided to organisation as per their requirement (may or may not be by third party vendors) (2) Implementation work progress can be monitored (3) vendors providing such solutions can be connected with organisations.",,Rain harvesting facility may be made compulsory in all the Govt./Govt. funded buildings. Funds for this purpose may be made allocated/released,Ministry of Women and Child Development,Software,AS38,Sustainable Environment,https://www.sih.gov.in/uploads/logo/no_image.png
" GeM portal is a dedicated e market for different goods & services procured by Government Organisations / Departments / PSUs. It facilitates online procurement of common use Goods & Services required by various Government Departments / Organisations / PSUs. In GeM Portal, we are looking for provision of customization of terms and conditions for Annual Maintenance Contract of services as per the need of the services required by the organisation may be created. It could be module which would (1) provide facility to review terms and condition of services between concern persons (2) facility to add comment against particular point/add/remove particular point",,"In GeM Portal, provision for customization of terms and conditions for Annual Maintenance Contract of services as per the need of the services required by the organisation may be created.",Ministry of Women and Child Development,Software,AS39,Software - Web App development,https://www.sih.gov.in/uploads/logo/no_image.png
" Harnessing the power of digital technologies is essential for achieving the Sustainable Development Goals, including universal health coverage. To reduce the inequities
in health in population with the migration either because of occupation, shelter or some other reasons, migration among cities, states, rural to urban, it is essential to track their health record so that health services can reach up to such people in the form of continuum of care.
lmmunization of children is an important field where we can provide full immunization coverage to such community who are often left behind.",,Digital tracking of children of migrant population to follow-up on their health status and immunization services received/to be given.,Ministry of Health and Family Welfare,Software,SS41,Healthcare & Biomedical Devices,https://www.sih.gov.in/uploads/logo/no_image.png
" Emergencies and disasters impact population health. Public health plays a critical role in working with health and non-health sectors responsible for preparing for and responding to emergencies. In emergencies, large numbers of people may require medical attention. Health care systems may be over-stretched, and public order may be threatened. Hence we want software solution such that social media can be used in public health emergency response. Such tool/page/plugin should have below capabilities. (1) Alarm message during emergencies (2) Providing Precautinary steps to be taken during emergency/disasters (3) Help in finding nearby available healthcare systems (4) Providing First aid/primary steps to be taken/provided to patients, in case of emergencies/disasters.",,"Emergencies and disasters impact population health. Public health plays a critical role in working with health and non-health sectors responsible for preparing for and responding to emergencies. In emergencies, large numbers of people may require medical attention. Health care systems may be over-stretched, and public order may be threatened. Hence use of social media in public health emergency response.",Ministry of Health and Family Welfare,Software,SS42,Healthcare & Biomedical Devices,https://www.sih.gov.in/uploads/logo/no_image.png
" Chat bots in health care may have the potential to provide patients with access to immediate medical information. Health care chat bots could help patients better manage their own health, improve access and timeliness to care. Use of Al based Chat bots for providing health related
information.",,Use of Al based Chat bots for providing health related information,Ministry of Health and Family Welfare,Software,SS43,Healthcare & Biomedical Devices,https://www.sih.gov.in/uploads/logo/no_image.png
" EHR generally contain highly-sensitive and critical data related to patients, which is frequently shared among clinicians, radiologists, healthcare providers, pharmacists, and researchers, for effective diagnosis and treatment. Hence may use block chain technology for accessing and managing the privacy and security of patient data and history in clinical practices.",,Leveraging block chain technology for creation of Electronic Health Record (EHR),Ministry of Health and Family Welfare,Software,SS45,Healthcare & Biomedical Devices,https://www.sih.gov.in/uploads/logo/no_image.png
" India is a developing country with steep rise in population but fall in the cultivable land area. India is able to produce enough food to feed the people. However, it stands 97th in Oxfam’s Food Availability Index, and 103rd in the 2018 Global Hunger Index. The major cause could be the wastage of food produced at various levels. With the constant rise in population India will have to manage smartly its food resources. We have to develop smart management techniques for food storage and reduce the wastage. Develop an application to provide a network of ware houses and farmers. Engage a logistic provider network to enable farmers directly use the network to sell their produce. Additionally provide facility to access warehouses and cold storages. Such a network will also enable judging whether enough storage capacity is available and also provide optimal usage of the facilities available.",,Smart Management of Food Storage and Waste Reduction,Department of Scientific and Industrial Research,Software,AG50,Waste Management,https://www.sih.gov.in/uploads/logo/no_image.png
" India has vast length of roads within cities, towns and villages. Also connected to them are the national highways (total length of national highways being about 1.3 million km). Most of the streets are illuminated from evening to morning averaging about 12 hours per day within the habitations. It is well understood that some of the streets may not have vehicles or even pedestrians passing through them throughout the night. In such scenarios there is wastage of electrical energy for illumination of streets. Smart street light management would mean that sensors can sense a movement in an area and switch on the lights before the vehicle or pedestrian passes by and switch it off during no movement thus saving electrical energy.",,Smart Management of Street lights for Energy Conservation,Department of Scientific and Industrial Research,Software,AG51,Miscellaneous,https://www.sih.gov.in/uploads/logo/no_image.png
" Identifying Solution with respect to Interstate & Inter Country/Continent Criminals e.g. Using Identity Inputs i e (name, email, Photo, address, present/permanent address, mobile number, ID cards etc. Also to design tool to generate some alert in facilitating effective policing",,Identify Solution with respect to Interstate & Inter Country Criminals e.g. Using Identity Inputs,Bureau of Police Research & Development,Software,RK54,Security & Surveillance,https://www.sih.gov.in/uploads/logo/no_image.png
Extract Geo Location/ Criminal Navigation using Mobile/Email based Tracking System,,Criminal Navigation System/Extractor,Bureau of Police Research & Development,Software,RK55,Security & Surveillance,https://www.sih.gov.in/uploads/logo/no_image.png
" Suggestions for community oriented policing (Digital Policing) / how to improve police and public relationship using technology i.e Mass Media, Social Media, Social Network Apps Connectivity, Community Radio, Interactive SMS System for senior citizens and authorities.",,Community oriented policing (Digital Policing),Bureau of Police Research & Development,Software,RK57,Security & Surveillance,https://www.sih.gov.in/uploads/logo/no_image.png
" With our aim to fight against bribery, we seek Digital Solution to Combat Bribery & Justice Restoration System for better policing and improved public delivery system. Solution should (1) provide efficient ways of public delivery system for combating bribery (2) Reporting bribery incidences to authorities. You may add value addition features to your solution.",,Digital Solution to Combat Bribery & Justice Restoration System,Bureau of Police Research & Development,Software,RK58,Security & Surveillance,https://www.sih.gov.in/uploads/logo/no_image.png
" Cyber bullying involves posting, sharing wrong, private, negative, harmful information about victim. In today's digital world we see many such instances where a particular person is targeted. We are looking for the software solution to curb such bullying/harassment in cyber space. Such solution is expected to (1) work on social media such as twitter, facebook,etc.; on SMS, etc. (2) should provide alarm to authority (3) facility to report such incidents to authority. Additional useful features are welcome.",,Cyber Crime Prevention,Bureau of Police Research & Development,Software,RK59,Security & Surveillance,https://www.sih.gov.in/uploads/logo/no_image.png
Interactive & user friendly map application for the  public to inform police related to crimes and emergencies in real time,,Interactive map application for real time crime reporting,Bureau of Police Research & Development,Software,RK60,Security & Surveillance,https://www.sih.gov.in/uploads/logo/no_image.png
" Smart and efficient Judiciary Interactive System: We often come across scenarions where stakeholders for particular event (presentation, meeting, discussion, etc.) are at remote location. In such cases, we observe many problems in flawless conduction of presentation or meeting, etc. We are looking for software solution for smart and efficient judiciary interactive system. It should cover (1) facility for presentations to all the attendee (2) facility for discussion between Judiciary panel. Additional useful feature are welcome.",,LEA & Judiciary Interactive Case Management System,Bureau of Police Research & Development,Software,RK61,Smart Communication,https://www.sih.gov.in/uploads/logo/no_image.png
Efficient and user-friendly Chabot Based Crime Registration & Crime Awareness System,,Efficient Chatbot Designing,Bureau of Police Research & Development,Software,RK62,Software - Web App development,https://www.sih.gov.in/uploads/logo/no_image.png
" Industrial waste is the waste produced by industrial activity which includes any material that is useless during a manufacturing process. it is hazardous to human healthe and environment. We are looking software solution which would help in development of business models for collection and utilization of single use plastics and various other industrial wastes by using items like: a. Ceramics b. Bamboo c. Wood e. Jute f. Cloth g. Tetra packs etc. It should lead to utilizing the industrial waste at appropriate place, generate some revenue stream/business model, less harm to environment.",,"Development of business models for collection and utilization
of single use plastics and various other industrial wastes","Ministry of Micro, Small & Medium Enterprises",Software,SG64,Waste Management,https://www.sih.gov.in/uploads/logo/no_image.png
" Our cities are expanding and most of the people have to travel more than 2 hours daily to commute between their place of work and stay. These things ofter leads to work-life imbalance, more stress, impact work performance, etc. We are looking software solution for smart management of traffic. It should lead to better travel plan, less stress due to driving, optimize travel time. You can consider data available over internet for modeling the solution.",,"Our cities are expanding and most of the people have to travel more than 2 hours daily to commute between their place of work and stay. How can we reduce this time?
",Ministry of Housing and Urban Affairs,Software,BC71,Smart Cities,https://www.sih.gov.in/uploads/logo/20191024115532.png
" Cities in India are growing fast. Cities have safety issues. We ofter come across news and available data, which indicate a particular area being more unsafe than others. We are looking for software solution for ensuring the safety of citizens in these unsafe areas. Safety measures, Warning messages, Asking for help, etc can be features. Additional features are welcome.",,"Cities have issues of safety. There is data available in cities, which indicate a particular section being more unsafe than others. What should be done with these unsafe parts of any city to increase the safety of our citizens?",Ministry of Housing and Urban Affairs,Software,BC74,Software - Web App development,https://www.sih.gov.in/uploads/logo/20191024115532.png
" Every part of our country is very rich in its heritage and culture. However, awareness about the same can be increased in the local residents. Tangible heritage refers physical artefacts, transmitted intergenerationally in a society and intangible heritage are skills, knowledge, practices, etc. We are looking for software-mobile app for increasing awareness among local residents as well as to national level, leading to increase ownership among locals and stimulus to tourism.",,"Every part of our country is very rich in its heritage and culture. However, awa-reness about the same can be increased in the local residents. What needs to done increase the ownership amongst the citizens towards the heritage (both tangible and intangible)?",Ministry of Housing and Urban Affairs,Software,BC76,Software - Mobile App development,https://www.sih.gov.in/uploads/logo/20191024115532.png
" There exists good medicle facilities across city in India. But due to higher migration rate and other factors, some people are not aware of these facilities. Moreover, eligible people are unaware of government schemes for availing medicle facilities. We are seeking software solution for (1) checking availability of nearby medical facilities, based on search criteria (2) facility for checking related medicle government schemes, as applicable.    Additional features are welcome.",,People come to cities because of better health facilities as well. What should be done to improve the health facilities in the city and also provide equitable access for all?,Ministry of Housing and Urban Affairs,Software,BC77,Healthcare & Biomedical Devices,https://www.sih.gov.in/uploads/logo/20191024115532.png
" Various kinds of disasters such as earthquake, wildfire, flood, heatwave, Tsunami, fire, hazardous material spills, disease outbrake, etc causes life as well economic losses. We are looking for software solution which would be useful in disaster management. Objectives for solution are: (1) Facility for real time tracking of disaster (2) Facility of updating disaster related information and sending precautionary messages by authorities.  Additional features for solution are welcome.",,Disasters act as a shock to density. Cities of tomorrow What should be done?,Ministry of Housing and Urban Affairs,Software,BC78,Smart Cities,https://www.sih.gov.in/uploads/logo/20191024115532.png
" Cities provide more opportunities for people to grow economically. However,
these opportunities are unequal because of knowledge asymmetry. How can we
ensure that people have more equal access to better economic opportunities/ jobs?Cities provide more opportunities for people to grow economically. However, poeple access to these opportunities varies due to various factors. How can we ensure that people have wide access to better and relavant economic opportunities/jobs? We are looking for software solution where all the relavant opportunities including jobs, tenders in public domain, freelancing work, etc. would be listed & visible. Sectors can be but not limited to Opportunities in Govenment Sector, Private Sector, Technology, Science, etc.",,"Cities provide more opportunities for people to grow economically. However, these opportunities are unequal because of knowledge asymmetry. How can we ensure that people have more equal access to better economic opportunities/ jobs?",Ministry of Housing and Urban Affairs,Software,BC79,Finance,https://www.sih.gov.in/uploads/logo/20191024115532.png
" In the country, groundwater caters to 80% of the irrigation water needs since the 1970. Water availability is not uniform and are vary from state to state. Dugwells and tubewells are the major points for groundwater extraction. The construction of dugwells ad tubewells has been a expensive affair and has been a dream for the farmers. The affordability for constructions deep wells to get the water and its socio-economic impart needs to be study. Agriculture census and minor irrigation census data are available in an interval of 5 years. In order to get clear picture of the land holding pattern, irrigation source, cropping pattern and depth of the wells in the different parts of the country a comparative assessment is required in micro/macro level i.e., block/district/state/country for the previous two census.",https://youtu.be/iDgminUb9EI,"Assessment of land holding pattern, source of irrigation, cropping pattern and depth of the wells in different parts of the country","Central Ground Water Board, Ministry of Jal Shakti",Software,DM83,Agriculture and Rural Development,https://www.sih.gov.in/uploads/logo/no_image.png
" Groundwater is the major source of freshwater for drinking, irrigation and industrial purposes and has always been a hidden treasure because of its dynamic nature. The health of the groundwater system is reflected in the groundwater levels of the region. There is a need to develop a robust application to understand the groundwater scenario and groundwater resources of the regions. Representative groundwater level data needs to be analysed using statistical and arithmetical solutions along with the groundwater resources of the country to identify the blocks/district/state which has been critical compared to previous decade",https://youtu.be/gmACRfzMjkY,Data analytics to provide complete solution for groundwater management for the country,"Central Ground Water Board, Ministry of Jal Shakti",Software,DM84,Miscellaneous,https://www.sih.gov.in/uploads/logo/no_image.png
" Preoperative planning is a phase before actual surgery procedure in which the
surgeon can take all the time needed to define the surgical problem, to
identify fully all the anatomical and technical aspects of the procedure, and
then carefully plan the solution. In order to facilitate this, the patient is
assumed to be located in a coordinate system refered to as the ‘Patient
Coordinate System’(PCS), whereas the surgeon has access to pre-operative
medical scans(like CT/MRI etc.) of the subject in the coordinate system refered
to as the ‘Image Coordinate System’(ICS). Any procedure planned in medical
scans under ICS can be transfered to patient domain by utilizing this mapping.
The challenge of accurately establishing this mapping (or registration)
between PCS and ICS plays a critical role in influencing the reliability of the
surgery procedure itself. Currently accepted practice involves the use of
special markers called the ‘fiducials’ for the purpose of estimating PCS-to-ICS
mapping. Apart from estiablishing correspondances between the appearance
of fiducials in both patient and image coordinate systems, autonomas and
accurate localization of these markers in image coordinate system is an open-
challenge. Currently, surgeons manually annotate and localize these fiducials
or utilize semi-automatic tools provided by their treatment planning suite. The
goal of this challenge is therefore, to develop fully autonomas algorithm for
detection and localization of fiducials in pre-operative scans. Concretely, the
participants will be provided with MRI head-scans with fiducials affixed on the
skull surface and the task will be to estimate 3D coordinates of the center of
these fiducials with respect to the image coordinate system. Accruacy of their
algorithm will be tested on the corresponding ground-truth values and
generalization will be evaluated based on unseen test data.",,Fiducial localization for pre-operative planning in neurosurgery,Department of Atomic Energy,Software,PC86,Healthcare & Biomedical Devices,https://www.sih.gov.in/uploads/logo/20191014230506.png
" ""In case of man-made emergency situations which disrupt public life on greater scale e.g. war, tested solutions for rapid communications among large numbers of devices is required for relief efforts as well as monitoring of environment. A Mobile AdhocNETworking(MANET) protocol based on device geographical location information is conceptualized to serve as a gate way device. Problem is coding, simulation and testing of scalability. A network routing protocol is scalable in terms of number of nodes when it can accommodate additional nodes without increase of overhead for given limited area. The conceptualizedMANET protocolshall establish the source to destination path similar to zone routing protocols (ZRP). The path to destination is referred at source, in terms of the geological zones therefore allowing movement of intermediate mobile devices across path without disturbing the path. The devices get assigned new zone automatically using the GPS. The simulation scenario shall be source node is searching a path to friendly destination device, exchange data (hello) and drop the link. The devices follow random mobility pattern in 2 D frame. For searching of devices there is pre condition of knowing past history or pattern or set of fixed zones where destination node can reside. This is close to real world scenario where destinations reside at known zonessuch as home, office, commutation route, friend’s place, entertainment hub in area, railway station, airport etc. The MANET protocol, by nature of precondition, of knowing the possibility of location of devices; protects from spam connection and un authorized network broadcast. It is allowed ato modify the protocol to certain level to improve security, privacy without diluting the basic principal. The simulation is required to test the claim of scalability level in terms of N devices in simulation. A set of software codes will be required to be developed for simulation of the routing protocol.The simulation can be done using open source network simulator. It is required to test and simulate the concept of this routing protocol and its scalability. The metric of scalability will be success in search, establish and dropping the links between pairs of devices and amount of information shared when not having links. The largest possible MANET size is required to be order of 1000s. All MANET devices shall be interchangeable and there will not be any infrastructure dedicated node. All devise shall be replaceable without affecting MANET performance. Fixed location nodes can be used.
An example application can be MANET for police cars or disaster relief providers to enable connectivity in them without having to connect to any public network.""",,Network routing protocol for infrastructure less gateway devices in man-made,Department of Atomic Energy,Software,PC87,Smart Communication,https://www.sih.gov.in/uploads/logo/20191014230506.png
" Andaman Nicobar Islands is a place of historical as well as tourist importance. 
Tourism being the only prime industry in these Islands has lot of potential and opportunity and Technology can play a major role in attracting tourist to a large extent. 
Immersive real-life experience through technologies like Virtual Reality of the scenic extravaganza and under-water wonders of vivid flora and fauna which are displayed in the museums, would certainly give a new dimension to the  tourists  in realizing the beauty of these Islands.
No such VR App is being used as on date for the tourist visiting Islands.",https://www.youtube.com/watch?v=dw1g7aBpBZs,A Mobile App with Virtual Reality Based Gallery for Heritage Museums of Andaman & Nicobar Islands,Dr. B R Ambedkar Institute of Technology,Software,DS90,Travel and Tourism,https://www.sih.gov.in/uploads/logo/20191028140456.jpg
" There is an acute shortage of health care in smaller towns and villages. The objective is to scale up of the existing telemedicine /call centre for doctors network to all subcentres using DTH or similar technology that allows two way communication and is not dependant on Internet Service Providers. All data to be held in a cloud server, Integrating cloud tech with Patient MIS and Aadhar authentication, in order to make it easy for patients belonging to low socio economic and educational backgrounds for safe keeping of medical records and also for accessing the databases by emergency medical technicians by merely using biometric / thumb impressions",,1.	Primary health care in remote areas using Cloud medicine and Diagnostic Services,Gov of Uttarakhand,Software,MK91,Healthcare & Biomedical Devices,https://www.sih.gov.in/uploads/logo/no_image.png
" ""National Web Portal used for designing Job oriented courses with the help of Human Resource data and desirable skill sets from industries.
Design a system to read the job description from the pdf and word document provided by government officials. Provide facility to review and edit the generated job description and publish on the portal. This portal should also provide facility to apply for job and further management of interview and selection process.""",,National Web Portal used for designing Job oriented courses with the help of Human Resource data and desirable skill sets from industries.,Gov of Uttarakhand,Software,MK95,Software - Web App development,https://www.sih.gov.in/uploads/logo/no_image.png
" ""Uttarakhand is primarily an agricultural state. The contribution of agriculture to the states domestic product is about 22.4 percent and the population dependent on agriculture for their livelihood is about 75 -85 percent. For instance, As per Uttarakhand state planning Commission, 2007, the productivity of wheat in the hills is 13.2 quintals/hectare and rice is 12.36 quintals/hectare. Thus, agricultural opportunities are developing rapidly in the state. Especially, in sector of organic agriculture, Uttarakhand Is highly accessible because of largely rain-fed agriculture and very low use of chemical fertilizers and pesticides, the produce grown by farmer in the area are not only rich in nutrients but also have high medicinal value and provides an opportunity to develop and farmer friendly environment of organic farming that provide better value in the market to Small and Marginal Land holder. The various project of Department of rural development and agriculture are continuously in the process of enhancing farmer and self-help groups (SHGs) livelihoods by adding value in their produce and providing favourable markets.
Provide technology based interventions like Techniques of Value addition to agriculture produce, Packaging, Logistic movement, Farmer Branding and marketing avenues. This platform should enable direct movement of farmer to the consumer and reduce the intermediates who take away a lion's share of commission.""",,"Lack of technological intervention in value addition of agriculture products produced by SHGs /FPGs
",Gov of Uttarakhand,Software,MK100,Agriculture and Rural Development,https://www.sih.gov.in/uploads/logo/no_image.png
" Theoretically the bridges are designed having life span of 50 years. However practically the life span of bridges varies between 30 to 40 years. Therefore, it is required to redesign the bridges of length 50m based on geomorphic condition. The solution must be of low cost and longer duration one.Design a software system to predict life of a bridge depending various conditions of environment, take inputs as design of bridge, latitute and longitude of bridge, access some API to get information about predicted environmental condidions and use that data to predict life of the bridge. This system should be used to modify the design to increase the life of the bridge.",,"Theoretically the bridges are designed having life span of 50 years. However practically the life span of bridges varies between 30 to 40 years. Therefore, it is required to redesign the bridges of length 50m based on geomorphic condition. The solution must be of low cost and longer duration one.",Gov of Uttarakhand,Software,MK103,Travel and Tourism,https://www.sih.gov.in/uploads/logo/no_image.png
The objective is to develop a smart intelligent traffic signal system based on various image processing and artificial intelligence techniques to collect the real time traffic data and monitor accordingly to avoid big jams and accidents. Use inputs from tools like Google maps and design an app that can be installed on devices to track and report such traffic jams. Ensure appropriate trust mechanisms are enable to trust an reported incident of traffic jam depending on number of inputs. Provide verification mechanisms to ensure that it can be verified by other users on the same route.,,Smart intelligent traffic accidents monitoring systems,Gov of Uttarakhand,Software,MK104,Smart Cities,https://www.sih.gov.in/uploads/logo/no_image.png
" The objective is to develop a software solution to predict the future jobs based on location, sectors, package and eligibility. Big data analysis can be useful to collect and analyse data’s from different job sites and predict the future requirements applying machine learning /deep learning techniques.",,Predicting the trends of quality-oriented jobs,Gov of Uttarakhand,Software,MK105,Smart Education,https://www.sih.gov.in/uploads/logo/no_image.png
" Though there exists a technology for face recognition based authentication, dynamic human recognition based authentication is highly challenging. For a given entrance gate a hardware-software solution is needed to identify every unique person who enters or exit the gate, with log of all previous entry/exit time, photo/videos recorded. That means there will not be a previous history of an individual on the first entry. The system should immediately alert the security if it is a new person and the security will decide to allow/restrict that person entering inside the premises. Whereas , the system should learn from its previous history of videos/images dynamically to allow a known person. For a given size of the gate the number of cameras with optimal resolution required is also to be worked out as part of solution. The solution should be scalable and preferably based open source.",,Video based dynamic human authentication system for access control,"Dte of IT & Cyber Security, DRDO",Software,CK107,Security & Surveillance,https://www.sih.gov.in/uploads/logo/20191211151605.png
" ""The position of an object in the air can be indicated by latitude, longitude and altitude for a given time. A trajectory is a stream of such quadruples(time, latitude, longitude and altitude) Given a large set of such trajectories, without any other information , problem is to cluster them into meaningful objects such as Helicopter, Fighter/civilian Aircraft, UAV, Cruise Missile, dropped bomb etc. An optimal scalable solution is desired using open source tools.
Design a system to estimate location of flying object based on its trajectory, provide guidance to missile to shoot them depending on their location when missile will meet the object on its trajectory.""",,Clustering of Air objects based on trajectory,"Dte of IT & Cyber Security, DRDO",Software,CK108,Security & Surveillance,https://www.sih.gov.in/uploads/logo/20191211151605.png
" There is a requirement for developing IT solutions for precision based irrigation, fertigation, crop Growth, Crop Maturity of major commodities in Horticulture. Design a system based on past data to provide guidelines to improve above mentioned parameters for multiple crops.",,"The position of an object in the air can be indicated by latitude, longitude and altitude for a given time. A trajectory is a stream of such quadruples(time, latitude, longitude and altitude) Given a large set of such trajectories, without any other information , problem is to cluster them into meaningful objects such as Helicopter, Fighter/civilian Aircraft, UAV, Cruise Missile, dropped bomb etc. An optimal scalable solution is desired using open source tools.",Ministry of Agriculture Cooperation and Farmer Welfare,Software,SB109,Agriculture and Rural Development,https://www.sih.gov.in/uploads/logo/no_image.png
" The Directorate of Higher Education has 7 Government College and 26 aided colleges under it. Altogether more than 10000 students pass out from them every year either choose to opt for further studies, work or have their own startups. 
Currently there is no mechanism for the colleges and the Directorate to keep a track of the students passing out. Hence the problem is to develop a web based application for colleges and the Directorate  to keep a track of the Alumni.
The said application should have the following features:-
(a)	allow the Alumni members to register themselves  
(b)	allow colleges to verify and authenticate their registered alumni
(c)	provision for alumni members to update their details
(d)	allow the colleges to search details based on criteria such as year, subject, etc.
(e)	allow the Directorate to search details based on criteria such as colleges, year, subject, etc.
(f)	send messages and emails to alumni members
(g)	group chats, create events, publish notices on the portal
(h)	Security features with login for every user.",,Alumni Tracking System,Govt of Goa,Software,DR111,Software - Web App development,https://www.sih.gov.in/uploads/logo/no_image.png
" Goa has faced the rage of rains this year and pothole are the biggest problem which government is tackling. Now problem lies in the fact that concerned departments are not able to       co-ordinate to resolve the issue. 

ISSUES

(a) Fundamentally there is disconnection between civil agencies, people and elected representatives.
(b) The aim is to build mobile based dynamic reporting system  which will facilitate into flow of information among all   concerned stakeholders.

(c) The aim  is to provide better Governance by more involvement of public.",,Pothole Challenge,Govt of Goa,Software,DR112,Software - Mobile App development,https://www.sih.gov.in/uploads/logo/no_image.png
" Checking the menace of stray cattle in State of Goa by involving Municipalities, Panchayats, Animal Husbandry, NGO and Civic Forum. Stray Cattle not only bad to traffic congestion but also causes health hazard to the cattle. 

ISSUES

(a) Fundamentally there is disconnection between civil agencies, people and elected representatives.
(b) The aim is to build mobile based dynamic reporting system  which will facilitate into flow of information among all   concerned stakeholders.

(c) The aim  is to provide better Governance by more involvement of public.",,Stray Cattle Challenge,Govt of Goa,Software,DR113,Software - Mobile App development,https://www.sih.gov.in/uploads/logo/no_image.png
